,nro_conabip,fecha_fundacion,id_depto
749,175,1912,6483
750,3805,1980,6547
751,2646,1952,6609
752,1633,1931,6609
753,4127,1980,6714
754,4031,2001,6749
755,4178,1980,6371
756,3728,1980,6371
757,914,1922,6882
758,729,0,10021
759,2991,1979,10063
760,2850,1980,10070
761,3653,1980,10070
762,862,1918,10084
763,2297,1945,22084
764,3353,1967,22119
765,3674,1980,22133
766,4006,2001,2000
767,62,1980,2000
768,4243,1980,14014
769,2424,1949,14063
770,2197,1939,14063
771,4283,2010,14091
772,3011,1966,14098
773,3623,1973,14140
774,4362,2016,14147
775,3731,1980,14175
776,586,1917,14182
777,3813,1998,18021
778,4224,1980,18112
779,4240,2000,30056
780,4164,1980,30098
781,3780,1980,34049
782,4098,2002,38021
783,771,1911,38063
784,3231,1993,42119
785,3480,1995,42126
786,4370,2003,46014
787,726,1914,46049
788,4246,2005,50091
789,3981,1998,50105
790,1576,1932,50105
791,3755,1997,54070
792,3395,1994,54077
793,3374,1980,54084
794,4247,2004,54112
795,4123,2002,58035
796,4269,2003,58035
797,3581,1985,58077
798,3097,1980,58077
799,4229,2000,58098
800,3095,1985,58105
801,3150,1990,62007
802,3147,1980,62014
803,3326,1990,62021
804,1695,1932,62042
805,3941,1980,62070
806,3914,1980,66084
807,3868,1999,66028
808,1828,1934,66056
809,1825,1933,66056
810,4004,1980,66154
811,1510,1918,70028
812,3490,1993,70084
813,3706,1996,70119
814,595,1914,74035
815,2639,1954,74056
816,2254,1937,82021
817,481,1920,82028
818,2945,1925,82042
819,1952,1937,82042
820,2178,1943,82056
821,3873,1998,82070
822,1063,1922,82084
823,1259,1927,82084
824,2449,1910,82084
825,4012,2001,82084
826,3911,2000,82091
827,1924,1933,82091
828,4157,1980,82098
829,3155,1981,82098
830,906,1922,82105
831,1119,1924,82126
832,3030,1980,82133
833,4231,2007,82133
834,3239,1993,94007
835,1180,1926,94014
836,3291,1909,90098
837,88,1912,6007
838,4260,2007,6028
839,911,1922,6035
840,2841,1966,6056
841,4166,1980,6119
842,4024,2002,6119
843,1002,1923,6140
844,3189,1986,6217
845,3890,1997,6217
846,123,1920,6274
847,2914,1944,6322
848,3292,1974,6336
849,3730,1998,6427
850,87,1916,6462
851,177,0,6469
852,4219,2008,6505
853,4134,1980,6560
854,2804,1958,6560
855,1977,1933,6623
856,2887,1970,6644
857,2158,1930,6651
858,3969,2000,6658
859,2115,1940,6742
860,4071,1980,6371
861,1228,1927,6770
862,240,1908,6791
863,4120,2001,6819
864,4193,1946,6840
865,3880,1999,6861
866,2954,1975,6868
867,3017,1979,10063
868,3325,1940,22105
869,3491,1980,22043
870,3612,1980,22084
871,3437,1980,22140
872,3460,1981,22154
873,4339,2011,26007
874,3202,1991,26077
875,3355,1980,26077
876,3835,1996,26077
877,3414,1980,26084
878,1187,1920,2000
879,3270,1994,2000
880,3789,1980,14014
881,4398,2022,14035
882,2858,1918,14063
883,3055,1985,14091
884,4343,2001,14140
885,3520,1996,14161
886,873,1919,14161
887,3258,1980,18021
888,3346,1980,18021
889,1530,1909,18105
890,4189,1980,30015
891,382,1912,30035
892,342,0,30049
893,3976,2000,38007
894,3237,1980,38042
895,1198,1926,38056
896,1260,1910,38094
897,1945,1937,42105
898,816,1911,42119
899,3171,1979,42133
900,3209,1992,50007
901,4314,2011,50028
902,3497,1980,50028
903,3264,1980,50028
904,4315,1996,50063
905,3282,1993,50105
906,3501,1990,54014
907,4258,2001,54028
908,4363,2015,54063
909,3875,1980,54091
910,3332,1993,58035
911,4052,2002,58035
912,4162,2004,58035
913,3161,1980,58035
914,4130,1980,62007
915,4235,2004,62007
916,1303,1928,62021
917,3601,1997,62021
918,3361,1980,62042
919,4149,1980,62042
920,4153,1980,62042
921,3105,1987,62042
922,4374,2006,62077
923,3372,1992,66007
924,4385,2022,66084
925,3991,1980,66028
926,2849,1963,66119
927,3133,1990,70028
928,3109,1987,70028
929,3933,1980,74028
930,3273,1996,74028
931,3221,1993,74021
932,4055,1997,74035
933,3188,1980,74035
934,3230,1993,74056
935,3583,1980,78014
936,3407,1994,78021
937,2760,1953,82014
938,411,1908,82014
939,2941,1980,82021
940,467,1980,82028
941,1749,1980,82035
942,2942,1976,82042
943,1041,1924,82119
944,4070,2002,82056
945,2885,1969,82070
946,4226,2003,82070
947,461,1911,82070
948,470,1917,82084
949,3528,1976,82084
950,3892,1995,82084
951,413,1910,82091
952,2187,1935,82091
953,3948,2000,82091
954,3570,1977,82119
955,4223,2008,82126
956,4209,2008,86049
957,2763,1940,86035
958,3827,1980,86035
959,2262,1942,86049
960,2578,1940,86049
961,3164,1988,86049
962,4057,1936,86049
963,4225,1980,86049
964,3562,1980,86126
965,3598,1980,86098
966,3694,1980,86126
967,3335,1992,86140
968,4386,2022,90084
969,644,1903,90084
970,3539,1988,90014
971,1799,1929,90070
972,2543,1940,6035
973,4265,2008,6035
974,3193,0,6042
975,1663,1922,6056
976,3392,1980,6056
977,258,1920,6154
978,2264,1940,6168
979,1770,1933,6182
980,3647,1957,6245
981,3518,1976,6280
982,126,1913,6351
983,3621,1980,6408
984,3128,1980,6420
985,3241,1980,6427
986,4338,2003,6427
987,3956,1995,6441
988,4135,1980,6434
989,3828,1930,6434
990,1326,1928,6455
991,3622,1993,6476
992,1193,1902,6483
993,4003,1980,6560
994,3049,1971,6560
995,3885,1980,6574
996,3652,1996,6595
997,3811,1998,6595
998,3878,1980,6658
999,231,0,6749
1000,4188,1980,6756
1001,3994,2000,6371
1002,3644,1996,6760
1003,3001,1980,6791
1004,3770,1980,6812
1005,3727,1997,6840
1006,3830,1958,6861
1007,1377,1928,10091
1008,2692,1955,22140
1009,3418,1961,22140
1010,2675,0,2000
1011,4341,2010,2000
1012,2177,1980,2000
1013,4197,1980,2000
1014,25,0,2000
1015,534,1909,14014
1016,2045,1918,14021
1017,3593,1980,14063
1018,1758,1917,14063
1019,4238,2003,14098
1020,555,1910,14098
1021,2794,1961,14119
1022,3596,1997,14161
1023,4202,1980,18028
1024,504,1980,18063
1025,506,1909,18112
1026,1918,1929,18112
1027,3559,1980,18126
1028,387,1904,30008
1029,340,0,30056
1030,2266,1943,30056
1031,375,1912,30056
1032,330,1939,30070
1033,4013,1980,30084
1034,787,1910,34014
1035,3179,1991,34014
1036,769,1906,38028
1037,3183,1980,38042
1038,2699,1980,38063
1039,3348,1993,38063
1040,4281,1996,38084
1041,3059,1986,38098
1042,4251,2009,42021
1043,3214,1993,42056
1044,3434,1994,42133
1045,4090,1980,46119
1046,4103,2002,50021
1047,3057,1970,50035
1048,4049,1980,50049
1049,2894,1971,50056
1050,4138,1980,50063
1051,2665,1993,50077
1052,3233,1947,50091
1053,3329,1980,50105
1054,4278,2009,50105
1055,3970,2000,54007
1056,790,1911,54035
1057,2995,1978,54084
1058,3825,1980,54105
1059,3217,1980,58007
1060,4160,1980,58021
1061,4208,1980,58042
1062,3146,1980,58035
1063,3143,1980,58035
1064,3619,1980,62091
1065,829,1905,62028
1066,3831,1999,62042
1067,3746,1996,66028
1068,4092,2003,66028
1069,4056,1980,66126
1070,4194,1980,66140
1071,4084,1980,70098
1072,714,0,70119
1073,601,1980,74035
1074,3397,1980,74049
1075,3323,1994,78014
1076,1001,1959,78021
1077,3342,1989,82021
1078,3986,1925,82021
1079,2472,1950,82042
1080,4360,2013,82049
1081,426,1922,82049
1082,1771,1929,82063
1083,455,1907,82063
1084,2772,1929,82063
1085,4276,2006,82063
1086,1093,1925,82084
1087,3869,1980,82084
1088,3907,2000,82084
1089,2655,1954,82091
1090,1395,1929,82126
